DATAFLOW,LAST UPDATE,freq,unit,NUTS2,TIME_PERIOD,POP_DICHTE,OBS_FLAG
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE35,2012,132.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE35,2013,132.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE35,2014,133.4,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE35,2015,134.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE35,2016,134.9,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE35,2017,135.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE35,2018,135.3,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BE35,2019,135.9,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG31,2008,46.7,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG31,2009,45.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG31,2010,46.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG31,2011,45.2,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG31,2012,44.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG31,2013,43.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG31,2014,43.1,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG31,2015,42.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG31,2016,41.2,b
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG31,2017,40.5,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG31,2018,39.8,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG31,2019,39.0,
ESTAT:TGS00024(1.0),20/08/21 23:00:00,A,PER_KM2,BG32,2008,59.5,
