DATAFLOW,LAST UPDATE,freq,unit,LAND,TIME_PERIOD,EMISSIONEN,OBS_FLAG
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2002,104.6,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2003,104.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2004,101.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2005,101.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2006,102.5,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2007,104.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2008,101.3,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2009,99.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2010,96.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2011,97.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2012,95.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2013,93.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2014,92.9,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2015,90.4,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2016,91.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2017,90.7,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2018,87.8,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2019,87.0,
ESTAT:SDG_13_20(1.0),10/06/22 11:00:00,A,I00,HR,2020,86.6,
